E1,กล้วยไข่,fruit2.png,กล้วยไข่สุก,4.jpg,48,464,2.0,21.50,"ให้พลังงานสูงช่วยการทำงานของ
ระบบประสาทและกล้ามเนื้อเสริม
ความจำ ช่วยให้ผิวพรรณมีสุขภาพดี "
E3,กล้วยน้ำว้า,fruit2.png,กล้วยน้ำว้าสุก,Y1.jpg,31,654,2.4,18.47,มีสารต้านอนุมูลอิสระสูง ช่วยแก้อาหารท้องผูก ป้องกันโลหิตจาง ลดความดันโลหิต ชะลอความแก่
E8,กล้วยหอม,fruit3.png,กล้วยหอมสุก,4.jpg,57,1,1.5,19.17,"ลดโลหิตจางกระตุ้นฮีโมโกลบินให้กับ
เม็ดเลือดแดงลดความเสี่ยงต่อการ
เป็นโรคหลอดเลือดสมองจากความ
ดันโลหิตสูง"
E10,ขนุน,fruit4.png,ขนุนสุก,4.jpg,37,9999999,2.2,19.17,ต้านมะเร็ง ต้านอนุมูลอิสระ ช่วยลดการอักเสบ ลดการเกิดริ้วรอยเหี่ยวย่นของผิวหนัง
E13,แก้วมังกรเนื้อสีขาว,fruit5.png,แก้วมังกรเนื้อสีขาว,4.jpg,52,141,1.9,9.30,ช่วยบำรุงผิวพรรณ ต้านอนุมูลอิสระ ช่วยดับร้อน ดับกระหาย เสริมสร้างภูมิต้านทานให้แข็งแรง ช่วยควบคุมน้ำหนัก แคลอรี่ต่ำ
E14,แก้วมังกรเนื้อสีชมพู,fruit6.png,แก้วมังกรเนื้อสีชมพู,4.jpg,57,141,3.0,8.00,ช่วยบำรุงผิวพรรณ ต้านอนุมูลอิสระ ช่วยดับร้อน ดับกระหาย เสริมสร้างภูมิต้านทานให้แข็งแรง ช่วยควบคุมน้ำหนัก แคลอรี่ต่ำ
E17,เงาะ,fruit7.png,เงาะ,4.jpg,55,10,1.6,17.89,ช่วยรักษาโรคบิด แก้ท้องร่วง รักษาอาการอักเสบในช่องปาก ช่วยฆ่าเชื้อแบคทีเรีย
E29,แตงไทย,fruit2.png,แตงไทย,4.jpg,9999999,1,0.3,2.95,เสริมสร้างระบบภูมิคุ้มกัน ช่วยในการลดน้ำหนัก ช่วยในการควบคุมความดันโลหิต ขับถ่ายได้ดียิ่งขึ้น ช่วยลดความเครียด
E30,แตงโม,fruit9.png,แตงโมเนื้อแดง,Y3.jpg,58,14,0.3,8.15,ช่วยในการควบคุมน้ำหนัก น้ำตาลต่ำ แคลอรี่ต่ำ ควบคุมระดับความดันโลหิต นำรุงสายตา บำรุงผิวพรรณและเส้นผม
E35,ทุเรียนหมอนทอง,fruit2.png,ทุเรียนหมอนทอง,4.jpg,48,1,2.8,14.75,มีสารต่อต้านอนุมูลอิสระสูง ช่วยในการชะลอวัยและริ้วรอย เสริมภูมิต้านทานในกับร่างกาย ลดไขมันในเลือด ป้องกันและลดความเสี่ยงจากโรคมะเร็ง ช่วยในการควบคุมน้ำหนัก
E39,ฝรั่ง,fruit2.png,ฝรั่ง รวมสายพันธุ์,4.jpg,34,101,3.7,6.23,มีสารต่อต้านอนุมูลอิสระสูง ช่วยในการชะลอวัยและริ้วรอย เสริมภูมิต้านทานในกับร่างกาย ลดไขมันในเลือด ป้องกันและลดความเสี่ยงจากโรคมะเร็ง ช่วยในการควบคุมน้ำหนัก
E44,สาลี่,fruit12.png,"สาลี่, พันธุ์ต่างๆ, ปอกเปลือก",7.jpg,36,1410,1.8,8.63,ช่วยแก้กระหาย คลายร้อน ช่วยในการขับถ่าย กระตุ้นการทำงานของภูมิคุ้มกัน บำรุงผิวพรรณ ลดความดันโลหิต 
E52,มะขามหวาน,fruit13.png,มะขามหวาน,8.jpg,999999999,144,6.7,50.90,เสริมสร้างภูมิต้านทาน มีธาตุเหล็กช่วยเสริมสร้างเม็ดเลือด เสริมภูมิต้านทานให้กับร่างกาย ช่วยให้ชุ่มคอ ขับเสมหะ ช่วยในการขับถ่าย
E63,มะม่วงเขียวเสวย,fruit14.png,มะม่วงเขียวเสวยดิบ,9.jpg,28,1414,3.5,8.77,"ช่วยควบคุมการย่อยอาหาร เสริมระบบภูมิคุ้มกันแหล่งของสาร
ต้านอนุมูลอิสระ"
E69,มะม่วงน้ำดอกไม้,fruit15.png,มะม่วงน้ำดอกไม้สุก,Y4.jpg,64,14,1.1,14.66,ช่วยบำรุงกระดูกและฟัน ช่วยเสริมสร้างภูมิคุ้มกัน ป้องกันปัญหาเลือดออกตามไรฟัน ช่วยปรับสมดุลน้ำตาลในเลือด
E80,แคนตาลูปเหลือง,fruit16.png,แคนตาลูปเนื้อสีเหลืองสุก,S_13000753.jpg,65,141,1.3,10.00,ช่วยลดความดันโลหิต ป้องกันโรคเลือดออกตามไรฟัน ช่วยลดไข้ ดับร้อน แก้กระหาย บรรเทาอาการอักเสบของลำไส้ ทางเดินปัสสาวะ
E82,มะละกอ สุก,fruit17.png,มะละกอสุก,Y5.jpg,65,1,1.9,9.20,ช่วยในการทำงานของจอประสาทตาและการมองเห็น ช่วยบำรุงหัวใจ เติมความชุ่มชื้นให้ผิวพรรณ ผลัดเซลล์ผิวอย่างอ่อนโยน ลดปัญหาสิวและจุดด่างดำ 
E83,มังคุด,fruit18.png,มังคุด,Y6.jpg,59,11,1.6,17.34,ช่วยบรรเทาอาการหวัด เสริมสร้างภูมิคุ้มกัน ลดความเสี่ยงของอาการเลือดออกตามไรฟันมีส่วนช่วยในการลดเลือนริ้วรอย ลดรอยสิว ช่วยลดระดับคอเลสเตอรอลในร่างกาย ลดไขมันไม่ดีในเส้นเลือด
E98,ลำไย,fruit19.png,ลำไย,1.jpg,45,124,1.0,7.26,ช่วยบำรุงเลือด ลดความดันโลหิต ป้องกันร่างกายไม่ให้อ่อนเพลีย บรรเทาอาการวิงเวียนศีรษะ บำรุงระบบประสาทและสมอง
E100,ลิ้นจี่,fruit2.png,ลิ้นจี่,S_13000761.jpg,70,41,1.2,17.95,ช่วยแก้อาการไอเรื้อรัง ลดอาการคัดจมูก ป้องกันอาการเลือดออกตามไรฟัน ช่วยลดกรดในกระเพาะอาหาร ช่วยรักษาอาการท้องเดิน ช่วยให้ระบบย่อยอาหารทำงานได้ดี
E115,ส้มเขียวหวาน,fruit21.png,ส้มเขียวหวาน,11.jpg,44,141,1.6,11.00,ช่วยกระตุ้นภูมิคุ้มกันร่างกาย ลดความดันโลหิต ปรับสมดุลระดับน้ำตาลในเลือด ช่วยลดคอเลสเตอรออลในเลือด บำรุงหัวใจ ช่วยแก้อาการท้องผูก
E119,ส้มโอ,fruit22.png,ส้มโอพันธุ์ต่างๆ,12.jpg,45,1,1.5,10.20,ช่วยแก้อาการวิงเวียน หน้ามืดตาลาย ใจสั่น ช่วยขับลม ขับเสมหะ แก้จุกแน่นหน้าอก ท้องอืดท้องเฟ้อ
E120,สับปะรด ภูแล,fruit23.png,สับปะรดภูแล,4.jpg,72,41,1.6,12.83, ช่วยบำรุงร่างกาย บำรุงสมองและระบบประสาท ช่วยป้องกันโรคโลหิตจาง บำรุงหัวใจ ช่วยในการทำงานของระบบขับถาย ระบบย่อยอาหาร เสริมภูมิคุ้มกัน ช่วยรักษาความดันโลหิต
E120,สับปะรด ใหญ่,fruit23.png,สับปะรดใหญ่,R3.jpg,72,412,1.6,12.83,"ช่วยเสริมสร้างภูมิคุ้มกันร่างกาย ช่วยบำรุงผิวพรรณให้เปล่งปลั่ง
ลดการเกิดริ้วรอย ช่วยดูแลสุขภาพภายในช่องปาก ลดอัตราเสี่ยงกรเกิดโรคมะเร็ง"
E121,ชมพู่,fruit24.png,ชมพู่ทับทิมจันทร์,4.jpg,67,454,0.9,8.37,ช่วยเพิ่มความสดชื่น เติมน้ำให้ผิวพรรณเปล่งปลั่งมีส่วนช่วยในการบำรุงสายตา เสริมสร้างภูมิคุ้มกันป้องกันเลือดออกตามไรฟัน ลดความรุนแรงของโรคหวัด
E122,เชอร์รี่,fruit25.png,เชอร์รี่,13.jpg,22,54,2.3,11.00,ช่วยเสริมสร้างภูมิคุ้มกัน ช่วยทำให้ผิวขาวใส ช่วยลดอาการปวดเมื่อยกล้ามเนื้อ ช่วยดูแลระบบขับถ่าย บำรุงสายตา ช่วยลดระดับน้ำตาลในเลือด 
E130,องุ่นเขียว, fruit26.png,องุ่นเขียว,14.jpg,46,54,1.2,13.82,ช่วยป้องกันมะเร็งลำไส้ใหญ่ ช่วยชะลอความเสื่อมของร่างกาย มีสารต้านอนุมูลอิสระ ลดภาวะการอักเสบ ช่วยกระตุ้มแบคทีเรียในลำไส้ ช่วยกำจัดสิ่งตกค้างในร่างกาย
E132,แอปเปิ้ลฟูจิ,fruit27.png,แอปเปิ้ลแดง,4.jpg,39,45,2.3,10.09,ช่วยป้องกันการเกิดโรคหลอดเลือดหัวใจ ช่วยให้ผนังหลอดเลือดแข็งแรง ป้องกันการเกิดโรคต้อกระจก ลดกรดในกระเพาะอาหาร ช่วยละลายเสมหะ ลดความดันโลหิต ช่วยบำรุงหัวใจ
E145,ลองกอง,fruit28.png,ลองกอง,Y8.jpg,61,54,2.6,15.58,ช่วยแก้ร้อนใน ไฟเบอร์สูงดีต่อระบบขับถ่าย  ช่วยบำรุงระบบประสาท มีสารต้านอนุมูลอิสระสูง ช่วยบำรุงดูแลเซลล์ในร่างกาย
E148,สตรอเบอร์รี่,fruit29.png,สตรอเบอร์รี่,19.jpg,99999999,54,3.0,4.03,อุดมไปด้วยสารต้านอนุมูลอิสระ ช่วยชะลอวัย เสริมสร้างคอลลาเจน ชะลอการเกิดริ้วรอย ช่วยเสริมสร้างภูมิคุ้มกัน บำรุงระบบประสามและสมอง ป้องกันการเกิดโรคมะเร็ง โรคโลหิตจาง
E151,สละ,fruit2.png,สละ,16.jpg,53,54,1.7,17.39,ช่วยแก้อาการกระหายน้ำ เพิ่มความชุ่มชื้นให้กับร่างกาย มีสารต้านอนุมูลอิสระ ช่วยเสริมภูมิคุ้มกันบำรุงสมอง เสริมความจำ ช่วยบำรุงสายตา ป้องกันอาการตาบอดตอนกลางคืน ช่วยบำรุงกระดูกและฟันให้แข็งแรง
E155,องุ่นแดง ไร้เมล็ด,fruit31.png,องุ่นแดงไร้เมล็ด,17.jpg,46,45,1.4,15.26,ช่วยป้องกันริ้วรอย เสริมสร้างระบบภูมิคุ้มกัน ช่วยให้เส้นผมแข็งแรง ช่วยในการมองเห็น ช่วยในกการลดน้ำหนัก  บำรุงผิวพรรณ ลดความเสี่ยงในการเกิดโรคหัวใจ
E200,แอปเปิ้ลเขียว,fruit32.png,แอปเปิ้ลเขียว,4.jpg,39,42,3.2,8.99,ช่วยในการควบคุมน้ำหนัก มีไฟเบอร์สูงดีต่อระบบขับถ่าย ช่วยลดคงามเสี่ยงโรคมะเร็งลำไส้ ช่วยเรื่องผิวพรรณ ช่วยลดคอเลสเตอรอล ช่วยลดระดับน้ำตาลในเลือด
E201,แอปเปิ้ลสด กาล่า,fruit27.png,แอปเปิ้ลสดสายพันธุ์กาล่า,15.jpg,39,43,2.2,12.39,ช่วยป้องกันการเกิดโรคหลอดเลือดหัวใจ ช่วยให้ผนังหลอดเลือดแข็งแรง ป้องกันการเกิดโรคต้อกระจก ลดกรดในกระเพาะอาหาร ช่วยละลายเสมหะ ลดความดันโลหิต ช่วยบำรุงหัวใจ
E204 ,กีวี่,fruit33.png,กีวีสด,   21.jpg,58,45,2.4,9.71,"ช่วยเสริมสร้างภูมิคุ้มกันให้กับร่างกาย กระตุ้มการสร้างคอลลาเจน ช่วยให้ผิวพรรณเปล่งปลั่ง ป้องกันไขมันอุดตันในเส้นเลือด มีใยอาหารสูงมีประโยชน์ต่อระบบย่อย
อาหารและระบบขับถ่าย ช่วยป้องกันโรคสมองเสื่อม"
